source_portal,city_slug,operation,page_number,listing_id,listing_key,listing_url,contact_url,card_title,detail_title,product_name,listing_type,advertiser_type,price_eur,price_per_m2_eur,area_m2,bathroom_count,tag_list,description_short,description_full,breadcrumb_zone,breadcrumb_path,address_text,geocode_query,geocode_status,coord_source,coord_precision,geocode_display_name,lat_wgs84,lon_wgs84,h3_cell,h3_resolution,section_key,district_code,district_name,barrio_code,barrio_name,published_at,modified_at,detail_fetch_status
locales.es,madrid,alquiler,1,149812,alquiler:149812,https://www.locales.es/madrid/alquiler/local149812?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/149812,"Local comercial en Alquiler en Calle del Hermano Gárate, Castillejos, Madrid","Restaurante en alquiler con 230m² en Madrid, en la zona de Castillejos, Calle del Hermano Gárate",Local comercial,local_comercial,De inmobiliaria,9000.0,39.13,230.0,,Cocina completamente equipada,"Local listo para operar con 220 m², capacidad 82, instalaciones para alta cocina y legado Michelin; ubicación estratégica en Madrid.","Alquiler.Restaurante. Pensamiento. GRUPO ANDINO ALQUILA EMBLEMÁTICO LOCAL EN MADRID. Un espacio con historia reconocido por su relevancia en el mundo de la gastronomía. Este espacio fue cuna de los éxitos de DiverXO, obteniendo sus tres estrellas Michelin, y posteriormente DAVID ARAUZ de Zuara, que logró su primera estrella.Características del LocalSuperficie Total: 220 m².Estado del Local: Todas las instalaciones están en perfecto estado y preparadas para operar al nivel de una estrella Michelin.Aforo: Capacidad para 82 personas, lo que lo convierte en un espacio ideal para ofrecer un servicio exclusivo y de alta calidad.Ubicación Estratégica: En una zona reconocida de Madrid que respalda el éxito de proyectos de restauración de alta gama.Prestigio Asociado: Un espacio con un legado que avala su idoneidad para proyectos gastronómicos de excelencia.Infraestructura Completa: Equipamiento y diseño adaptados a los estándares de alta cocina.Este local no solo cuenta con un diseño y una ubicación excepcional, sino también con el prestigio y la inspiración de haber albergado dos proyectos gastronómicos reconocidos internacionalmente. Es una oportunidad única para emprendedores y chefs que buscan desarrollar un restaurante de alta cocina con el potencial de alcanzar el éxito Michelin.CONDICIONES ECONÓMICASALQUILER: 1º año: € 7.000- 2º año: € 8.000- 3º año: € 9.000FIANZA: 2 mesesGARANTÍAS: a convenir según operadorHONORARIOS AGENCIA: 10% DE LA RENTA ANUAL MAS IVAEsta es una información sin efectos vinculantes, entregada por el propietario o su representante y puede ser modificada sin previo aviso. En caso de interés, previa aceptación formal, entregamos toda la documentación necesaria para el adecuado análisis de esta inversión.GRUPO ANDINO, somos especialista COMPRA-VENTA-ALQUILER y TRASPASOS de locales comerciales en el sector de la restauraciónGestión de contratos. (incluidos en los honorarios)Asesoría para licencias y permisosSeguros de alquileres, daños y responsabilidad civilProyectos llave en mano y diseño de interiores..",Castillejos,Madrid > Castillejos > Alquiler,"Calle del Hermano Gárate, Castillejos, Madrid","Castillejos, Madrid, España",ok,nominatim,zone_approx,"Castillejos, Tetuán, Madrid, Comunidad de Madrid, 28020, España",40.4598788,-3.694067,,,,,,,,2026-01-15T14:55:37+0000,2026-01-15T14:55:37+0000,ok
locales.es,madrid,alquiler,1,149838,alquiler:149838,https://www.locales.es/madrid/alquiler/local149838?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/149838,"Local comercial en Alquiler en Avenida del Santuario de Valverde, El Goloso, Madrid","Restaurante en alquiler con 200m² en Madrid, en la zona de El Goloso, Avenida del Santuario de Valverde",Local comercial,local_comercial,De inmobiliaria,6500.0,,200.0,,Escaparate,"Local planta calle 170 m² en esquina con 4 escaparates; licencia definitiva; salida de humos; terraza autorizada 18 mesas; cerrado, necesita reforma.","Traspaso Restaurante. Montecarmelo. GRUPO ANDINO ALQUILA — RESTAURANTE SIN TRASPASO EN MONTECARMELO en Monasterio de los Silos esquina Av Santuario de Valverde, magnífico restaurante con licencia definitiva, ubicado en una de las mejores zonas de Montecarmelo, de uno de los barrios más modernos, consolidados y de mayor poder adquisitivo del norte de Madrid.Esta ubicación combina un entorno residencial de alto nivel con una creciente presencia de sedes corporativas, oficinas, centros educativos y comercio de proximidad, lo que garantiza un flujo constante de público durante toda la semana.CARACTERÍSTICAS PRINCIPALES DEL LOCALSuperficie total: 170 m² en planta calle.Fachada: Local en esquina con 4 amplios escaparates, ofreciendo máxima visibilidad desde diferentes ángulos.Licencia: Definitiva de restaurante, completamente apta para cualquier actividad de hostelería.Salida de humos: Sí, instalada y operativa.Terraza: Autorizada para 18 mesas, una ventaja clave en zonas residenciales como Montecarmelo.Gracias a su diseño en esquina y sus grandes ventanales, el local disfruta de excelente iluminación natural y una presencia comercial destacada, ideal para captar la atención del público.ENTORNO Y POTENCIAL DE LA ZONAMontecarmelo es uno de los barrios más demandados de Madrid por su calidad de vida, su urbanismo moderno y su población de alto poder adquisitivo, compuesta mayoritariamente por familias jóvenes y profesionales. Zona de hostelería con restaurantes y cafeterías consolidados que generan sinergias comerciales.Colegios, guarderías, gimnasios y comercios de primera necesidad.Empresas y oficinas que aportan público entre semana.Este entorno convierte al local en una oportunidad excepcional para proyectos de hostelería que busquen posicionarse en un mercado estable, con demanda elevada y potencial de crecimiento continuo.Una oportunidad para emprender o ampliar tu proyecto en uno de los barrios más cotizados de Madrid.NOTA: El local está cerrado y debe actualizar sus instalaciones para el nuevo proyecto. Las fotos son del ultimo local que hubo en el.CONDICIONES ECONOMICASAlquiler: € 6.500Fianza: 2 meses Garantía: 6 mesesHONORARIOS AGENCIA: 10% de la renta anula mas IVAEsta es una información sin efectos vinculantes, entregada por el propietario o su representante y puede ser modificada sin previo aviso. En caso de interés, previa aceptación formal, entregamos toda la documentación necesaria para el adecuado análisis de esta inversión..",El Goloso,Madrid > El Goloso > Alquiler,"Avenida del Santuario de Valverde, El Goloso, Madrid","Avenida del Santuario de Valverde, El Goloso, Madrid, España",ok,nominatim,street_approx,"Avenida del Santuario de Valverde, El Goloso, Fuencarral, Fuencarral-El Pardo, Madrid, Comunidad de Madrid, 28049, España",40.5131718,-3.6862681,8a390cb0cb67fff,10.0,8193.0,8.0,Fuencarral - El Pardo,88.0,El Goloso,2026-01-15T15:53:47+0000,2026-01-15T15:53:47+0000,ok
locales.es,madrid,alquiler,1,149839,alquiler:149839,https://www.locales.es/madrid/alquiler/local149839?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/149839,"Local comercial en Alquiler en Calle de Bravo Murillo, Castillejos, Madrid","Restaurante en alquiler con 200m² en Madrid, en la zona de Castillejos, Calle de Bravo Murillo",Local comercial,local_comercial,De inmobiliaria,4000.0,20.0,200.0,,,"Local en Bravo Murillo (esquina), 130 m² planta calle, fachada 20 m con ventanales, licencia de restaurante y equipamiento completo, listo para operar.","Traspaso. Restaurante. Bravo Murillo. GRUPO ANDINO TRASPASA – RESTAURANTE LISTO PARA OPERAROportunidad única de traspaso en una calle Bravo Murillo 238El local se encuentra completamente equipado, en perfecto estado, con amplios ventanales y una fachada que hace esquina, lo que le otorga una presencia visual muy destacada y atractiva para cualquier proyecto de restauración.CARACTERÍSTICAS DEL LOCALSuperficie total: 130 m² en planta calleFachada: 20 metros lineales con amplios ventanales que aportan gran visibilidadLicencia: RestauranteEquipamiento completo: Maquinaria, mobiliario e instalaciones en excelente estadoListo para trabajar: No requiere inversión adicional, ideal para continuar actividad o implantar nuevo conceptoVersatilidad: Perfecto para cualquier oferta gastronómicaUNA UBICACIÓN EXCEPCIONALLa calle Bravo Murillo tiene un alto trafico peatonal y vehicular, con comercio variado, oficinas diversas que junto a una zona residencial con público de renta media, familiar y con consumo recurrenteActividad asegurada en desayunos, comidas, cenas Área en plena expansión comercial, muy demandada por hostelería y franquiciasOPORTUNIDAD PARA OPERADORES Y MARCASPerfecto para:Emprendedores con concepto propioCadenas y franquicias que busquen implantarse en la zonaOperadores que necesiten un local de rápida activaciónMarcas que requieran visibilidad y entorno comercial consolidadoCONDICIONES ECONOMICASTraspaso: € 90.000Alquiler: € 4.000Fianza: 2 mesesGarantías: Según operadorHONORARIOS AGENCIA: 10% de la renta anual más IVAEsta es una información sin efectos vinculantes, entregada por el propietario o su representante y puede ser modificada sin previo aviso. En caso de interés, previa aceptación formal, entregamos toda la documentación necesaria para el adecuado análisis de esta inversión..",Castillejos,Madrid > Castillejos > Alquiler,"Calle de Bravo Murillo, Castillejos, Madrid","Calle de Bravo Murillo, Castillejos, Madrid, España",ok,nominatim,street_approx,"Calle de Bravo Murillo, Castillejos, Tetuán, Madrid, Comunidad de Madrid, 28020, España",40.4655276,-3.6906501,8a390cb0ac47fff,10.0,6071.0,6.0,Tetuán,63.0,Castillejos,2026-01-15T15:55:27+0000,2026-01-15T15:55:27+0000,ok
locales.es,madrid,alquiler,1,149842,alquiler:149842,https://www.locales.es/madrid/alquiler/local149842?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/149842,"Local comercial en Alquiler en Calle del Corazón de María, Prosperidad, Madrid","Restaurante en alquiler con 300m² en Madrid, en la zona de Prosperidad, Calle del Corazón de María",Local comercial,local_comercial,De inmobiliaria,8000.0,26.67,300.0,,Escaparate | Terraza cerrada,Local con licencia de restaurante; 288 m² (187 m² planta calle + 101 m² entreplanta); aforo 99; terraza cerrada 40; para reformar.,"Alquiler. Restaurante. Corazon de María. GRUPO ANDINO ALQUILA LOCAL COMERCIAL CON LICENCIA DE RESTAURANTE EN CALLE CORAZÓN DE MARÍASe ofrece en alquiler amplio local comercial con licencia definitiva de restaurante, ubicado en la calle Corazón de María, una de las zonas más consolidadas y mejor comunicadas del noreste de Madrid. Se trata de un entorno de alto nivel residencial y empresarial, que combina viviendas de calidad, oficinas, hoteles y una activa oferta de restauración, lo que garantiza una clientela constante y variada durante todo el día.Características del local:Superficie total: 288 m².Planta calle: 187 m².Entreplanta comercial: 101 m².Aforo interior: 99 personas.Terraza exterior cerrada: capacidad para 40 sillas, ideal para uso durante todo el año.Fachada: hace esquina con 32 metros lineales y amplios escaparates, lo que proporciona gran visibilidad y luminosidad natural.Estado: para reformar a nuevo proyecto de hosteleríaEntorno y descripción de la zona:La calle Corazón de María pertenece al distrito de Chamartín, uno de los más demandados de Madrid por su excelente combinación entre vida residencial, actividad empresarial y oferta gastronómica. El entorno inmediato se caracteriza por aceras amplias, edificios modernos y alto tránsito peatonal y vehicular, lo que favorece la exposición y el flujo de clientes.Oportunidad de negocio:Este local representa una excelente oportunidad para desarrollar un proyecto de hostelería de éxito, en una zona de alta visibilidad y afluencia, rodeada de potenciales clientes tanto de perfil profesional como residencial. La combinación de una gran fachada en esquina, terraza cerrada y licencia de restaurante vigente lo posiciona como una opción altamente competitiva dentro del mercado de locales prime de Madrid.CONDICIONES ECONÓMICASAlquiler: € 8.000Fianza: 2 mesesGarantías: 4 mesesHonorarios Agencia: 1 mes de alquiler más IVAEsta es una información sin efectos vinculantes, entregada por el propietario o su representante y puede ser modificada sin previo aviso.En caso de interés, previa aceptación formal, entregamos toda la documentación necesaria para el adecuado análisis de esta inversión..",Prosperidad,Madrid > Prosperidad > Alquiler,"Calle del Corazón de María, Prosperidad, Madrid","Calle del Corazón de María, Prosperidad, Madrid, España",ok,nominatim,street_approx,"Calle del Corazón de María, Prosperidad, Chamartín, Madrid, Comunidad de Madrid, 28002, España",40.4415347,-3.668902,8a390ca24467fff,10.0,5034.0,5.0,Chamartín,52.0,Prosperidad,2026-01-15T16:01:23+0000,2026-01-15T16:01:23+0000,ok
locales.es,madrid,alquiler,1,150095,alquiler:150095,https://www.locales.es/madrid/alquiler/local150095?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/150095,"Local comercial en Alquiler en Calle Narvaez, Ibiza, Madrid","Restaurante en alquiler con 170m² en Madrid, en la zona de Ibiza, Calle Narvaez, 61",Local comercial,local_comercial,De inmobiliaria,2400.0,14.12,170.0,,Almacén | Salida de humos | Barra | Terraza,150 m²; aforo 62; cocina con salida de humos. Terraza 64 (40 climatizada). Incluye maquinaria y mobiliario. Contrato: 9 años restantes.,"Inmorest Consultores traspasa en exclusiva Bar Restaurante en magnífica ubicación del barrio del Retiro, concretamente una esquina de máxima visibilidad y paso entre las calles Narváez y Alcalde Sainz de Baranda. La zona de Ibiza de Madrid destaca por su oferta gastronómica debido a su proximidad al parque del Retiro y porque aúna, residentes de alto poder adquisitivo, despachos de oficinas y turistas, pudiendo trabajar a un alto ritmo durante toda la semana. El local cuenta además con una magnífica terraza en la calle Narváez para 64 personas, de las cuales 40 se encuentran dentro de un cerramiento climatizado para poder utilizarlo durante todo el año. Dentro del local, con aforo para 62 personas, se accede por la propia esquina a la zona de barra, tras la cual se encuentra la cocina con salida de humos, además de mesas altas. Tras un solo tramo de escaleras se accede al salón principal, almacenes con cámaras de frío panelizadas y servicios. El negocio se encuentra actualmente en pleno funcionamiento y se traspasa libre de cargas de todo tipo incluyendo toda la maquinaria y mobiliario. Hay que destacar el precio tan bajo de la renta para un local con esa licencia y terraza en esa ubicación. Condiciones económicas: - Traspaso: 160.000€ exentos de IVA - Renta inicial: 2.400€ + IVA. Posteriormente aplicación IPC con mínimos - Restan 9 años de contrato aunque puede negociarse nuevo contrato. - Gastos de comunidad a cargo del arrendatario: 270€ mes - IBI y derramas a cargo del arrendador. - Tasa de terraza anual: 11.000€ - Garantías: 2 meses de fianza y posible garantía adicional según solvencia. - Honorarios de agencia a cargo del nuevo arrendatario: 2.400€ + IVA Si acuden al local rogamos discreción y no consulten al personal. Para organizar visita contacten por este anuncio de Ref. 1151 a la Atención de Carlos. La información incluida no es vinculante y no forma parte de ninguna oferta o contrato y puede estar sujeta a cualquier modificación sin previo aviso. Somos expertos en locales de hostelería y podemos ayudarle a elegir la mejor ubicación para su negocio.",Ibiza,Madrid > Ibiza > Alquiler,"Calle Narvaez, Ibiza, Madrid","Calle Narvaez, Ibiza, Madrid, España",ok,nominatim,street_approx,"Calle de Narváez, Ibiza, Retiro, Madrid, Comunidad de Madrid, 28009, España",40.4162771,-3.6763948,8a390ca267b7fff,10.0,3054.0,3.0,Retiro,34.0,Ibiza,2026-01-20T14:29:31+0000,2026-01-20T14:29:32+0000,ok
locales.es,madrid,alquiler,1,151471,alquiler:151471,https://www.locales.es/madrid/alquiler/local151471?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/151471,"Local comercial en Alquiler en Calle Blas de Otero, Madrid","Restaurante en alquiler con 190m² en Madrid, Calle Blas de Otero",Local comercial,local_comercial,De inmobiliaria,4600.0,24.21,190.0,,,"190 m² en planta calle, licencia de restaurante, totalmente equipado, aforo 88, terraza cerrada 34, zona Chamartín residencial y comercial.","Restaurante en traspaso Calle Valparaíso 3. GRUPO ANDINO TRASPASA – RESTAURANTE LISTO PARA OPERAR EN CHAMARTÍNExcelente oportunidad de traspaso en una de las mejores zonas del barrio de Chamartín, uno de los distritos más consolidados y demandados de Madrid para el sector de la hostelería, Plaza de Valparaíso 3.El local se presenta totalmente equipado y en perfecto estado, con amplios ventanales y una fachada generosa que le aporta una gran visibilidad y una imagen comercial muy atractiva, ideal para captar clientela desde el primer día.CARACTERÍSTICAS DEL LOCALSuperficie total: 190 m² en planta calleLicencia: RestauranteAforo interior: 88 personasTerraza cerrada: Capacidad para 34 personasEquipamiento completo: Maquinaria, mobiliario e instalaciones en excelente estado de conservaciónListo para operar: No requiere inversión adicional, permitiendo iniciar la actividad de forma inmediataAlta versatilidad: Apto para cualquier concepto gastronómico, tanto para continuar la actividad actual como para desarrollar un nuevo proyectoENTORNO Y POTENCIAL DE LA ZONAUbicado en un entorno residencial de nivel medio-alto, con una importante presencia de oficinas, comercios y servicios, lo que garantiza un flujo constante de público durante todo el día.Chamartín es un barrio altamente valorado por operadores de restauración gracias a su clientela estable, poder adquisitivo y consumo recurrente, tanto entre semana como los fines de semana.OPORTUNIDAD PARA OPERADORES Y MARCASEste local es especialmente atractivo para:Emprendedores con concepto propioCadenas y franquicias que busquen posicionarse en una zona primeOperadores que necesiten un local listo para activar de inmediatoMarcas que valoren visibilidad, aforo y un entorno comercial consolidadoCONDICIONES ECONÓMICASTraspaso: 120.000 €Alquiler mensual: 4.600 €Fianza: 2 mesesGarantías adicionales: 4 mesesHonorarios Agencia: 10% de la renta anual mas IVA.",,Madrid > Alquiler,"Calle Blas de Otero, Madrid","Calle Blas de Otero, Madrid, España",outside_scope,nominatim,street_approx,"Calle Blas de Otero, Urbanización Pablo Iglesias, Sector III, Getafe, Comunidad de Madrid, 28905, España",,,,,,,,,,2026-01-29T10:40:33+0000,2026-01-29T10:40:33+0000,ok
locales.es,madrid,alquiler,1,152241,alquiler:152241,https://www.locales.es/madrid/alquiler/local152241?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/152241,"Local comercial en Alquiler en Sol, Madrid","Comercio en alquiler con 770m² en Madrid, en la zona de Sol",Local comercial,local_comercial,De inmobiliaria,25000.0,32.47,770.0,4.0,Patio | Persiana metálica | Sistemas de Seguridad | Aire acondicionado | +3,"Aprox. 800 m² en 2 plantas (calle + semisótano). Amplia fachada, licencia pública, accesos y salidas de emergencia. Buena comunicación.","¡Se alquila magnífico local comercial de 770 m² distribuidos en dos plantas (planta calle y semisótano), ubicado en la prestigiosa Chamberí, una de las zonas más consolidadas y demandadas de Madrid. El inmueble cuenta con una amplia fachada a la calle, excelente visibilidad y acceso peatonal, y está rodeado de viviendas de alto poder adquisitivo, colegios, oficinas y comercios consolidados. Dispone de licencia de pública concurrencia y salidas de emergencia adaptadas. La planta a pie de calle ofrece una superficie diáfana ideal para zona de atención al público, exposición o recepción, mientras que el semisótano, también con acceso directo, resulta perfecto para salas de consulta, almacén, vestuarios o cocina, según el tipo de actividad. Gracias a su amplitud y ubicación, el local es perfecto para proyectos de gran formato como: Clínica médica o de medicina estética. Centro de fisioterapia, bienestar o gimnasio boutique. Restaurante o espacio gastronómico de alta gama. Showroom, academia o coworking premium. Cuenta con muy buena comunicación por metro, autobús y acceso a vías principales. Zona con elevada densidad de población, alto poder adquisitivo y flujo constante de residentes y profesionales. Características principales Superficie total: 800 m² (aprox.) Distribución: planta calle + semisótano Estado: buen estado general Amplia fachada con escaparate Apto para actividades de pública concurrencia Acceso directo desde calle Zona de alto nivel socioeconómico (Chamberí, Madrid) ________________________________________ Condiciones Renta mensual: 25.000 € Contrato de larga duración Condiciones negociables según perfil y proyecto ________________________________________ Ideal para empresas o marcas que busquen: Un espacio emblemático en una ubicación estratégica, con gran superficie y excelente visibilidad en el corazón de Madrid.¡¡",Sol,Madrid > Sol > Alquiler,"Sol, Madrid","Sol, Madrid, España",ok,nominatim,unknown,"Sol, Plaza de la Puerta del Sol, Barrio de los Austrias, Sol, Centro, Madrid, Comunidad de Madrid, 28013, España",40.4178272,-3.7022221,,,,,,,,2026-02-09T10:19:15+0000,2026-02-09T10:20:41+0000,ok
locales.es,madrid,alquiler,1,152644,alquiler:152644,https://www.locales.es/madrid/alquiler/local152644?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/152644,"Local comercial en Alquiler en Embajadores, Madrid","Local comercial en alquiler con 285m² en Madrid, en la zona de Embajadores",Local comercial,local_comercial,De inmobiliaria,4000.0,14.04,285.0,1.0,Salida de humos | Escaparate,"285 m2 en planta baja, 12 escaparates en esquina. Sin salida de humos (no hostelería). Próximo a Plaza de Lavapiés y transporte.","LOCAL COMERCIAL CON 12 ESCAPARATES EN LAVAPIES !! Excelente local, haciendo esquina y con muchas posibilidades para cualquier negocio SALVO hostelería. ( NO SALIDA DE HUMOS ) Local en planta con una superficie de 285 metros. Ubicación inmejorable, ya que se encuentra próximo a la Plaza de Lavapiés. Paradas de taxis y metro. Alrededor se encuentran zonas comerciales y zonas de ocio (Rastro de Madrid, Mercado San Fernando), museos (museo de arte Reina Sofía) colegios, teatros, restaurantes. OPORTUNIDAD!!!",Embajadores,Madrid > Embajadores > Alquiler,"Embajadores, Madrid","Embajadores, Madrid, España",ok,nominatim,zone_approx,"Embajadores, Centro, Madrid, Comunidad de Madrid, España",40.4095856,-3.7029851,,,,,,,,2026-02-10T11:05:11+0000,2026-02-10T11:05:13+0000,ok
locales.es,madrid,alquiler,1,152912,alquiler:152912,https://www.locales.es/madrid/alquiler/local152912?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/152912,"Local comercial en Alquiler en Paseo de la Reina Cristina, Pacífico, Madrid","Local comercial en alquiler con 108m² en Madrid, en la zona de Pacífico, Paseo de la Reina Cristina",Local comercial,local_comercial,De inmobiliaria,2900.0,26.85,108.0,,Aire acondicionado | Salida de humos,"108 m² planta calle y 72 m² sótano; gran altura, fachada 9 m con 3 huecos, A/C, opción hostelería sin salida de humos; cerca de Atocha y metro.","Local Comercial Paseo Reina Cristina. CARACTERÍSTICAS DEL LOCALLocal con una superficie total de 180 m² construidos, distribuidos en dos plantas según plano:Planta calle: 108 m² construidos.Planta sótano: 72 m² construidos.Cuenta con gran altura interior en ambas plantas, destacando especialmente el sótano con 4 metros de altura, utilizado comercialmente por el anterior inquilino.Dispone de fachada de 9 metros lineales, con tres huecos a la calle, excelente altura y muy buena visibilidad.El local cuenta con aire acondicionado y no dispone de salida de humos.Existe posibilidad de uso para hostelería sin salida de humos y opción de terraza, ambas a estudiar por parte del inquilino, en una zona sin restricciones.ENTORNO Y UBICACIÓNUbicado en el barrio de Pacífico, en una de sus calles importantes, Paseo de La Reina Cristina 18 dentro del distrito de Retiro, una de las zonas más dinámicas y comerciales de Madrid, con un nivel adquisitivo medio-alto. El entorno se caracteriza por una intensa actividad urbana y una excelente conectividad, con proximidad a metro Atocha, Menéndez Pelayo y varias líneas de autobús.La zona se ve reforzada por la influencia de Atocha y el eje cultural de los museos, así como por la presencia de primeras marcas y operadores consolidados como supermercados, entidades bancarias, restauración reconocida y hoteles, lo que garantiza un alto tránsito peatonal y gran potencial comercial.OPORTUNIDAD / MOTIVO DE INTERÉSExcelente oportunidad para emprendedores, operadores comerciales u hosteleros que busquen un local con gran visibilidad, amplitud y versatilidad, en una zona consolidada y de alta demanda.Ideal para desarrollar proyectos de hostelería sin salida de humos, retail o servicios, aprovechando su ubicación estratégica y su configuración interior.CONDICIONES ECONÓMICASAlquiler: € 2.900Fianza: 2 mesesGarantías: 6 mesesHONORARIOS DE AGENCIA: 10% de la renta anual más IVA.La información contenida en este anuncio puede estar sujeta a modificaciones y no tiene carácter contractual. Los datos se muestran a título informativo y deben ser confirmados por la parte interesada. Los honorarios de agencia se aplican según condiciones indicadas. Asesoramos durante todo el proceso de compraventa, alquiler o traspaso, garantizando transparencia y acompañamiento profesional..",Pacífico,Madrid > Pacífico > Alquiler,"Paseo de la Reina Cristina, Pacífico, Madrid","Paseo de la Reina Cristina, Pacífico, Madrid, España",ok,nominatim,street_approx,"Paseo de la Reina Cristina, Pacífico, Retiro, Madrid, Comunidad de Madrid, 28014, España",40.4066071,-3.6842217,8a390ca35177fff,10.0,3002.0,3.0,Retiro,31.0,Pacífico,2026-02-13T15:43:48+0000,2026-02-13T15:43:48+0000,ok
locales.es,madrid,alquiler,1,156357,alquiler:156357,https://www.locales.es/madrid/alquiler/local156357?offerType=2&estateType=3&settlement=6773,https://www.locales.es/madrid/contactar/propietario/156357,"Local comercial en Alquiler en Costillares, Madrid","Cafetería en alquiler con 230m² en Madrid, en la zona de Costillares",Local comercial,local_comercial,De inmobiliaria,2450.0,10.65,230.0,,Salida de humos | Terraza,222 m²; aforo 50 niños y 46 adultos; en funcionamiento con personal reducido subrogable; licencias en regla; contrato 8 años; listo para operar.,"nmorest traspasa en exclusiva un estupendo Parque Infantil con Cafetería en pleno funcionamiento, con clientela fija y muchas posibilidades de crecimiento. Se trata de un gran local de 222 m en plena Calle Arturo Soria, en la confluencia con Sanchinarro, sin competencia en varios Km. a la redonda, con aforo para 50 niños y 46 adultos en la zona de cafetería. Además es posible obtener permiso para terraza de veladores, no solo para los padres sino para vecinos y trabajadores de la Torre de Elecnor (a 50 m) y otros edificios de oficinas. Se trata de un negocio ideal para una familia, que puede complementar los ingresos de celebración de cumpleaños infantiles por las tardes y fines de semana con los de la cafetería (la única de la zona), para trabajadores y vecinos durante toda la semana. Actualmente el negocio funciona con muy poco personal que ya conoce a la clientela y se aconseja subrogar, sobre todo si se pretende ampliar horario y servicios. Incluso con el actual horario reducido puede demostrarse la rentabilidad actual del negocio, principalmente por los gastos tan reducidos que tiene. Se traspasa libre de cargas de todo tipo y listo para continuar con la actividad sin necesidad de mayor inversión. Las condiciones son las siguientes: - Traspaso: 68.000€ exentos de IVA - Renta: 2.450€ + IVA al mes. - Contrato nuevo por 8 años. - Comunidad e IBI a cargo del arrendador. - Garantías: 2 meses de fianza + 2 meses de garantía complementaria. - Honorarios de agencia: 2.450€+ IVA - Licencias en regla. Para mayor información rogamos no contacten con el personal. Pueden contestar a este anuncio o llamar a la oficina para concertar visitas preguntando por Carlos e indicando la Ref. 1159.",Costillares,Madrid > Costillares > Alquiler,"Costillares, Madrid","Costillares, Madrid, España",ok,nominatim,zone_approx,"Costillares, Ciudad Lineal, Madrid, Comunidad de Madrid, España",40.4760473,-3.6685122,,,,,,,,2026-02-19T08:18:51+0000,2026-02-19T08:18:52+0000,ok
