zone_level,zone_code,zone_name,web_supercategory,web_category,display_label,n_locales,n_events,event_rate,duration_median_months,survival_12m,survival_24m,supported_for_stats,confidence_tier,rank_within_zone_24m
district,1.0,Centro,Retail especializado,Hogar y decoracion,Muebles,81,5,0.06172839506172839,135.0,1.0,1.0,False,low,1
district,1.0,Centro,Servicios,Servicios personales,Reparacion especializada,71,2,0.028169014084507043,135.0,1.0,1.0,False,low,2
district,1.0,Centro,Alimentacion,Alimentacion fresca,Pescaderia,59,5,0.0847457627118644,135.0,1.0,1.0,False,low,3
district,1.0,Centro,Retail especializado,Cultura y ocio,Papeleria y prensa,57,12,0.21052631578947367,135.0,1.0,1.0,False,low,4
district,1.0,Centro,Retail especializado,Hogar y reformas,Ferreteria,47,7,0.14893617021276595,135.0,1.0,1.0,False,low,5
district,1.0,Centro,Educacion,Formacion,Educacion y formacion,43,2,0.046511627906976744,135.0,1.0,1.0,False,low,6
district,1.0,Centro,Salud y bienestar,Salud retail,Herbolario,39,4,0.10256410256410256,135.0,1.0,1.0,False,low,7
district,1.0,Centro,Servicios,Servicios profesionales,Arquitectura e ingenieria,38,9,0.23684210526315788,135.0,1.0,1.0,False,low,8
district,1.0,Centro,Alojamiento,Alojamiento turistico,Alojamiento turistico,36,0,0.0,135.0,1.0,1.0,False,low,9
district,1.0,Centro,Alimentacion,Alimentacion fresca,Carniceria y charcuteria,34,1,0.029411764705882353,135.0,1.0,1.0,False,low,10
district,1.0,Centro,Alimentacion,Panaderia y pasteleria,Pasteleria y reposteria,34,7,0.20588235294117646,135.0,1.0,1.0,False,low,11
district,1.0,Centro,Alimentacion,Alimentacion fresca,Aves y huevos,33,2,0.06060606060606061,135.0,1.0,1.0,False,low,12
district,1.0,Centro,Alimentacion,Especialistas alimentacion,Bodega,30,6,0.2,135.0,1.0,1.0,False,low,13
district,1.0,Centro,Alimentacion,Alimentacion fresca,Charcuteria,28,1,0.03571428571428571,135.0,1.0,1.0,False,low,14
district,1.0,Centro,Retail especializado,Cultura y ocio,Deporte,27,3,0.1111111111111111,135.0,1.0,1.0,False,low,15
district,1.0,Centro,Servicios,Servicios personales,Reparacion de calzado,23,2,0.08695652173913043,135.0,1.0,1.0,False,low,16
district,1.0,Centro,Retail especializado,Electronica y telecom,Electrodomesticos,19,0,0.0,135.0,1.0,1.0,False,low,17
district,1.0,Centro,Retail especializado,Electronica y telecom,Informatica,19,1,0.05263157894736842,135.0,1.0,1.0,False,low,18
district,1.0,Centro,Salud y bienestar,Clinicas y consultas,Fisioterapia,17,2,0.11764705882352941,135.0,1.0,1.0,False,low,19
district,1.0,Centro,Hosteleria,Ocio nocturno,Cafe espectaculo,16,0,0.0,135.0,1.0,1.0,False,low,20
district,1.0,Centro,Alimentacion,Especialistas alimentacion,Golosinas,16,4,0.25,135.0,1.0,1.0,False,low,21
district,1.0,Centro,Alojamiento,Alojamiento turistico,Hostal,16,1,0.0625,135.0,1.0,1.0,False,low,22
district,1.0,Centro,Alimentacion,Especialistas alimentacion,Frutos secos y encurtidos,15,1,0.06666666666666667,135.0,1.0,1.0,False,low,23
district,1.0,Centro,Alimentacion,Supermercado y conveniencia,Gran superficie alimentacion,15,3,0.2,135.0,1.0,1.0,False,low,24
district,1.0,Centro,Servicios,Servicios profesionales,Despacho juridico,14,2,0.14285714285714285,135.0,1.0,1.0,False,low,25
district,1.0,Centro,Retail especializado,Hogar y decoracion,Iluminacion,13,2,0.15384615384615385,135.0,1.0,1.0,False,low,26
district,1.0,Centro,Belleza y cuidado personal,Peluqueria y estetica,Instituto de belleza,13,7,0.5384615384615384,100.0,1.0,1.0,False,low,27
district,1.0,Centro,Educacion,Formacion,Autoescuela,12,1,0.08333333333333333,135.0,1.0,1.0,False,low,28
district,1.0,Centro,Salud y bienestar,Clinicas y consultas,Clinica dental,12,1,0.08333333333333333,135.0,1.0,1.0,False,low,29
district,1.0,Centro,Alimentacion,Especialistas alimentacion,Congelados,12,0,0.0,135.0,1.0,1.0,False,low,30
district,1.0,Centro,Salud y bienestar,Clinicas y consultas,Consulta medica,12,1,0.08333333333333333,135.0,1.0,1.0,False,low,31
district,1.0,Centro,Automocion,Venta y recambios,Motos y reparacion,12,1,0.08333333333333333,135.0,1.0,1.0,False,low,32
district,1.0,Centro,Salud y bienestar,Clinicas y consultas,Clinica medica,11,1,0.09090909090909091,135.0,1.0,1.0,False,low,33
district,1.0,Centro,Alimentacion,Especialistas alimentacion,Heladeria,11,3,0.2727272727272727,135.0,1.0,1.0,False,low,34
district,1.0,Centro,Retail especializado,Hogar y reformas,Puertas y ventanas,11,2,0.18181818181818182,135.0,1.0,1.0,False,low,35
district,1.0,Centro,Retail especializado,Cultura y ocio,Bicicletas,10,3,0.3,135.0,1.0,1.0,False,low,36
district,1.0,Centro,Retail especializado,Hogar y reformas,Materiales de construccion,10,1,0.1,135.0,1.0,1.0,False,low,37
district,1.0,Centro,Automocion,Taller y reparacion,Taller chapa y pintura,10,0,0.0,135.0,1.0,1.0,False,low,38
district,1.0,Centro,Alimentacion,Alimentacion fresca,Casqueria,8,0,0.0,135.0,1.0,1.0,False,low,39
district,1.0,Centro,Educacion,Educacion infantil,Escuela infantil,8,1,0.125,135.0,1.0,1.0,False,low,40
district,1.0,Centro,Alojamiento,Alojamiento turistico,Albergue,7,0,0.0,135.0,1.0,1.0,False,low,41
district,1.0,Centro,Alimentacion,Especialistas alimentacion,Cafe e infusiones,7,1,0.14285714285714285,135.0,1.0,1.0,False,low,42
district,1.0,Centro,Finanzas,Finanzas y seguros,Finanzas y seguros,7,4,0.5714285714285714,81.0,1.0,1.0,False,low,43
district,1.0,Centro,Servicios,Servicios profesionales,Consultoria empresarial,6,1,0.16666666666666666,135.0,1.0,1.0,False,low,44
district,1.0,Centro,Retail especializado,Hogar y reformas,Material electrico,6,2,0.3333333333333333,135.0,1.0,1.0,False,low,45
district,1.0,Centro,Retail especializado,Moda y complementos,Moda y complementos,6,2,0.3333333333333333,135.0,1.0,1.0,False,low,46
district,1.0,Centro,Salud y bienestar,Clinicas y consultas,Podologia,6,2,0.3333333333333333,135.0,1.0,1.0,False,low,47
district,1.0,Centro,Retail especializado,Hogar y reformas,Saneamientos,6,0,0.0,135.0,1.0,1.0,False,low,48
district,1.0,Centro,Finanzas,Finanzas y seguros,Servicios auxiliares seguros,6,1,0.16666666666666666,126.0,1.0,1.0,False,low,49
district,1.0,Centro,Automocion,Taller y reparacion,Taller mecanica,6,0,0.0,135.0,1.0,1.0,False,low,50
district,1.0,Centro,Servicios,Servicios profesionales,Tecnologia y software,6,1,0.16666666666666666,135.0,1.0,1.0,False,low,51
district,1.0,Centro,Hosteleria,Bar y cafeteria,Churreria,5,0,0.0,135.0,1.0,1.0,False,low,52
district,1.0,Centro,Automocion,Servicios automocion,Gasolinera,4,0,0.0,135.0,1.0,1.0,False,low,53
district,1.0,Centro,Retail especializado,Hogar y decoracion,Muebles de cocina,4,0,0.0,135.0,1.0,1.0,False,low,54
district,1.0,Centro,Salud y bienestar,Clinicas y consultas,Optometria,4,1,0.25,135.0,1.0,1.0,False,low,55
district,1.0,Centro,Automocion,Taller y reparacion,Taller automovil,4,0,0.0,135.0,1.0,1.0,False,low,56
district,1.0,Centro,Automocion,Venta y recambios,Venta de coches nuevos,4,0,0.0,135.0,1.0,1.0,False,low,57
district,1.0,Centro,Retail especializado,Hogar y reformas,Bricolaje,3,0,0.0,135.0,1.0,1.0,False,low,58
district,1.0,Centro,Educacion,Formacion,Formacion no reglada,3,0,0.0,93.0,1.0,1.0,False,low,59
