taxonomy,raw_code,raw_desc,desc_key,n,clean_code,clean_desc,code_valid,is_placeholder,mapping_reason
division,84.0,ADMINISTRACIÓN PÚBLICA Y DEFENSA; SEGURIDAD SOCIAL OBLIGATORIA,ADMINISTRACION PUBLICA Y DEFENSA SEGURIDAD SOCIAL OBLIGATORIA,777,84,ADMINISTRACION PUBLICA Y DEFENSA; SEGURIDAD SOCIAL OBLIGATORIA,True,False,numeric_normalized
division,90.0,"ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS",ACTIVIDADES DE CREACION ARTISTICAS Y ESPECTACULOS,234,90,"ACTIVIDADES DE CREACION, ARTISTICAS Y ESPECTACULOS",True,False,numeric_normalized
division,15.0,INDUSTRIA DEL CUERO Y DEL CALZADO,INDUSTRIA DEL CUERO Y DEL CALZADO,167,15,INDUSTRIA DEL CUERO Y DEL CALZADO,True,False,numeric_normalized
division,71.0,SERVICIOS TÉCNICOS DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS,SERVICIOS TECNICOS DE ARQUITECTURA E INGENIERIA ENSAYOS Y ANALISIS TECNICOS,461,71,SERVICIOS TECNICOS DE ARQUITECTURA E INGENIERIA; ENSAYOS Y ANALISIS TECNICOS,True,False,numeric_normalized
division,77.0,ACTIVIDADES DE ALQUILER,ACTIVIDADES DE ALQUILER,1098,77,ACTIVIDADES DE ALQUILER,True,False,numeric_normalized
division,94.0,ACTIVIDADES ASOCIATIVAS,ACTIVIDADES ASOCIATIVAS,6756,94,ACTIVIDADES ASOCIATIVAS,True,False,numeric_normalized
division,92.0,ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,2913,92,ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,True,False,numeric_normalized
division,82.0,ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACTIVIDADES AUXILIARES A LAS EMPRESAS,ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACTIVIDADES AUXILIARES A LAS EMPRESAS,4800,82,ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACTIVIDADES AUXILIARES A LAS EMPRESAS,True,False,numeric_normalized
division,74.0,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",OTRAS ACTIVIDADES PROFESIONALES CIENTIFICAS Y TECNICAS,454,74,"OTRAS ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",True,False,numeric_normalized
division,79.0,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES RELACIONADAS CON LOS MISMOS",ACTIVIDADES DE AGENCIAS DE VIAJES OPERADORES TURISTICOS SERVICIOS DE RESERVAS Y ACTIVIDADES RELACIONADAS CON LOS MISMOS,618,79,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURISTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES RELACIONADAS CON LOS MISMOS",True,False,numeric_normalized
division,62.0,"PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMÁTICA",PROGRAMACION CONSULTORIA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMATICA,214,62,"PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMÁTICA",True,False,numeric_normalized
division,0.0,SIN ACTIVIDAD,SIN ACTIVIDAD,2212,0,SIN ACTIVIDAD,False,True,placeholder
division,91.0,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",ACTIVIDADES DE BIBLIOTECAS ARCHIVOS MUSEOS Y OTRAS ACTIVIDADES CULTURALES,986,91,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",True,False,numeric_normalized
division,69.0,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,ACTIVIDADES JURIDICAS Y DE CONTABILIDAD,1012,69,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,True,False,numeric_normalized
division,31.0,FABRICACIÓN DE MUEBLES,FABRICACION DE MUEBLES,237,31,FABRICACION DE MUEBLES,True,False,numeric_normalized
division,25.0,"FABRICACIÓN DE PRODUCTOS METÁLICOS, EXCEPTO MAQUINARIA Y EQUIPO",FABRICACION DE PRODUCTOS METALICOS EXCEPTO MAQUINARIA Y EQUIPO,517,25,"FABRICACION DE PRODUCTOS METALICOS, EXCEPTO MAQUINARIA Y EQUIPO",True,False,numeric_normalized
division,58.0,EDICIÓN (INCLUYE PROGRAMAS INFORMÁTICOS),EDICION INCLUYE PROGRAMAS INFORMATICOS,142,58,EDICION (INCLUYE PROGRAMAS INFORMATICOS),True,False,numeric_normalized
division,33.0,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,REPARACION E INSTALACION DE MAQUINARIA Y EQUIPO,175,33,REPARACION E INSTALACION DE MAQUINARIA Y EQUIPO,True,False,numeric_normalized
division,70.0,ACTIVIDADES DE LAS SEDES CENTRALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN EMPRESARIAL,ACTIVIDADES DE LAS SEDES CENTRALES ACTIVIDADES DE CONSULTORIA DE GESTION EMPRESARIAL,239,70,ACTIVIDADES DE LAS SEDES CENTRALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN EMPRESARIAL,True,False,numeric_normalized
division,28.0,FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,FABRICACION DE MAQUINARIA Y EQUIPO N C O P,32,28,FABRICACION DE MAQUINARIA Y EQUIPO N.C.O.P.,True,False,numeric_normalized
division,81.0,SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERIA,397,81,SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERIA,True,False,numeric_normalized
division,26.0,"FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS Y ÓPTICOS",FABRICACION DE PRODUCTOS INFORMATICOS ELECTRONICOS Y OPTICOS,36,26,"FABRICACION DE PRODUCTOS INFORMATICOS, ELECTRONICOS Y 0PTICOS",True,False,numeric_normalized
division,16.0,"INDUSTRIA DE LA MADERA Y DEL CORCHO, EXCEPTO MUEBLES; CESTERÍA Y ESPARTERÍA",INDUSTRIA DE LA MADERA Y DEL CORCHO EXCEPTO MUEBLES CESTERIA Y ESPARTERIA,138,16,"INDUSTRIA DE LA MADERA Y DEL CORCHO, EXCEPTO MUEBLES; CESTERIA Y ESPARTERIA",True,False,numeric_normalized
division,27.0,FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,FABRICACION DE MATERIAL Y EQUIPO ELECTRICO,61,27,FABRICACION DE MATERIAL Y EQUIPO ELECTRICO,True,False,numeric_normalized
division,17.0,INDUSTRIA DEL PAPEL,INDUSTRIA DEL PAPEL,60,17,INDUSTRIA DEL PAPEL,True,False,numeric_normalized
division,35.0,"SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE ACONDICIONADO",SUMINISTRO DE ENERGIA ELECTRICA GAS VAPOR Y AIRE ACONDICIONADO,102,35,"SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE ACONDICIONADO",True,False,numeric_normalized
division,63.0,SERVICIOS DE INFORMACIÓN,SERVICIOS DE INFORMACION,26,63,SERVICIOS DE INFORMACIÓN,True,False,numeric_normalized
division,1.0,"AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS RELACIONADOS CON LAS MISMAS",AGRICULTURA GANADERIA CAZA Y SERVICIOS RELACIONADOS CON LAS MISMAS,6,1,"AGRICULTURA, GANADERIA, CAZA Y SERVICIOS RELACIONADOS CON LAS MISMAS",True,False,numeric_normalized
division,24.0,"METALURGIA; FABRICACIÓN DE PRODUCTOS DE HIERRO, ACERO Y FERROALEACIONES",METALURGIA FABRICACION DE PRODUCTOS DE HIERRO ACERO Y FERROALEACIONES,9,24,"METALURGIA; FABRICACION DE PRODUCTOS DE HIERRO, ACERO Y FERROALEACIONES",True,False,numeric_normalized
division,39.0,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS,ACTIVIDADES DE DESCONTAMINACION Y OTROS SERVICIOS DE GESTION DE RESIDUOS,8,39,ACTIVIDADES DE DESCONTAMINACION Y OTROS SERVICIOS DE GESTION DE RESIDUOS,True,False,numeric_normalized
