epigrafe_code,epigrafe_desc,display_label,web_category,web_supercategory,macro_category_code,macro_category_name,macro_category_definition,investable,macro_mapping_rule,source_rows,needs_manual_review
552001,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,Albergue,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,15449,False
551002,HOTELES Y MOTELES SIN RESTAURANTE,Alojamiento turístico,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,6315,False
551004,APART-HOTELES,Alojamiento turístico,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,8327,False
553001,CAMPINGS Y APARCAMIENTOS PARA CARAVANAS,Alojamiento turístico,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,141,False
559001,COLEGIOS MAYORES Y RESIDENCIAS DE ESTUDIANTES,Alojamiento turístico,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,13599,False
559002,PENSIONES,Alojamiento turístico,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,3496,False
559003,CASAS DE HUESPEDES,Alojamiento turístico,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,7030,False
551003,HOSTALES,Hostal,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,15592,False
551001,HOTELES Y MOTELES CON RESTAURANTE,Hotel,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,42775,False
551005,VIVIENDAS TURÍSTICAS,Vivienda turística,Alojamiento turístico,Alojamiento,tourist_accommodation,Alojamiento turístico,"Hoteles, hostales, albergues y otros alojamientos de corta estancia.",True,display_label,81674,False
561005,BAR CON COCINA,Bar con cocina,Bar y cafetería,Hostelería,bar_cafe,Bar y cafetería,"Bares, cafeterías, tabernas y formatos de hostelería ligera sin foco principal en restauración completa.",True,display_label,572319,False
563002,BAR ESPECIAL SIN ACTUACIONES,Bar especial,Bar y cafetería,Hostelería,bar_cafe,Bar y cafetería,"Bares, cafeterías, tabernas y formatos de hostelería ligera sin foco principal en restauración completa.",True,display_label,123978,False
561004,BAR RESTAURANTE,Bar restaurante,Bar y cafetería,Hostelería,bar_cafe,Bar y cafetería,"Bares, cafeterías, tabernas y formatos de hostelería ligera sin foco principal en restauración completa.",True,display_label,544326,False
563005,BAR SIN COCINA,Bar sin cocina,Bar y cafetería,Hostelería,bar_cafe,Bar y cafetería,"Bares, cafeterías, tabernas y formatos de hostelería ligera sin foco principal en restauración completa.",True,display_label,215083,False
563001,COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) CON CONSUMO,Bodega con consumo,Bar y cafetería,Hostelería,bar_cafe,Bar y cafetería,"Bares, cafeterías, tabernas y formatos de hostelería ligera sin foco principal en restauración completa.",True,display_label,12582,False
561006,CAFETERIA,Cafetería,Bar y cafetería,Hostelería,bar_cafe,Bar y cafetería,"Bares, cafeterías, tabernas y formatos de hostelería ligera sin foco principal en restauración completa.",True,display_label,408293,False
472908,"COMERCIO AL POR MENOR DE MASAS Y PATATAS FRITAS, CHURRERIA CON OBRADOR",Churrería,Bar y cafetería,Hostelería,bar_cafe,Bar y cafetería,"Bares, cafeterías, tabernas y formatos de hostelería ligera sin foco principal en restauración completa.",True,display_label,18194,False
561007,CHOCOLATERIA/SALON DE TE Y HELADERIA,Heladería y salón de té,Bar y cafetería,Hostelería,bar_cafe,Bar y cafetería,"Bares, cafeterías, tabernas y formatos de hostelería ligera sin foco principal en restauración completa.",True,display_label,12683,False
563004,TABERNA,Taberna,Bar y cafetería,Hostelería,bar_cafe,Bar y cafetería,"Bares, cafeterías, tabernas y formatos de hostelería ligera sin foco principal en restauración completa.",True,display_label,22098,False
471902,"COMERCIO AL POR MENOR DE PRODUCTOS DE PRECIO UNICO, BAZARES Y ASIMILABLES",Bazar y precio único,Conveniencia,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,176870,False
472601,COMERCIO AL POR MENOR DE TABACOS Y ARTICULOS DE FUMADOR,Estanco,Conveniencia,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,web_category,85824,False
477601,"COMERCIO AL POR MENOR DE SEMILLAS, ABONOS, PLANTAS Y FLOR CORTADA",Floristería,Hogar y regalos,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,55635,False
471103,TIENDA DE CONVENIENCIA (24H),Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,6455,False
472303,COMERCIO AL POR MENOR DE BACALAO Y SALAZONES,Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,1178,False
472909,"COMERCIO AL POR MENOR DE MASAS Y PATATAS FRITAS, CHURRERIA SIN OBRADOR",Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,1123,False
474101,COMERCIO AL POR MENOR DE MAQUINARIA Y EQUIPOS DE OFICINA,Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,7470,False
474301,COMERCIO AL POR MENOR DE EQUIPOS O APARATOS AUDIOVISUALES,Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,5552,False
475301,"COMERCIO AL POR MENOR DE ALFOMBRAS, MOQUETAS Y REVESTIMIENTOS DE PAREDES Y SUELOS EN ESTABLECIMIENTOS ESPECIALIZADOS",Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,13322,False
475904,COMERCIO AL POR MENOR DE INSTRUMENTOS MUSICALES,Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,6383,False
476301,"COMERCIO AL POR MENOR DE PRODUCTOS AUDIOVISUALES EN ESTABLECIMIENTOS ESPECIALIZADOS (CD,DVD,â€¦)",Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,2772,False
476402,COMERCIO AL POR MENOR DE EMBARCACIONES DE RECREO,Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,396,False
477401,COMERCIO AL POR MENOR DE PRODUCTOS PARAFARMACEUTICOS,Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,8774,False
477603,COMERCIO AL POR MENOR DE ANIMALES DE COMPAÑIA,Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,9136,False
477802,"COMERCIO AL POR MENOR DE SELLOS, MONEDAS Y MEDALLAS",Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,6702,False
477803,COMERCIO AL POR MENOR DE ARMAS,Otros comercios,Otros comercios,Retail especializado,bazaar_gifts,"Bazar, regalos y retail variado","Bazares, floristerías, multiproducto y comercios especializados de regalo o surtido variado.",True,display_label,2080,False
