period,status,rows,rows_transformed,rows_with_h3,rows_transition_requires_review,h3_resolution,transition_policy,output_path
2015-01,skipped_existing,,,,,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-01.csv.gz
2015-02,materialized,142679.0,140907.0,140907.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-02.csv.gz
2015-03,materialized,143123.0,141333.0,141333.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-03.csv.gz
2015-04,materialized,143185.0,141382.0,141382.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-04.csv.gz
2015-05,materialized,143663.0,141822.0,141822.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-05.csv.gz
2015-06,materialized,143811.0,141901.0,141901.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-06.csv.gz
2015-08,materialized,143988.0,142007.0,142007.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-08.csv.gz
2015-09,materialized,144048.0,142040.0,142040.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-09.csv.gz
2015-10,materialized,144094.0,142087.0,142087.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-10.csv.gz
2015-11,materialized,144168.0,142136.0,142136.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-11.csv.gz
2015-12,materialized,144168.0,142136.0,142136.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2015-12.csv.gz
2016-01,materialized,144381.0,142188.0,142188.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-01.csv.gz
2016-02,materialized,144480.0,142232.0,142232.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-02.csv.gz
2016-03,materialized,144562.0,142297.0,142297.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-03.csv.gz
2016-04,materialized,144710.0,142362.0,142362.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-04.csv.gz
2016-05,materialized,144710.0,142321.0,142321.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-05.csv.gz
2016-06,materialized,144811.0,142473.0,142473.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-06.csv.gz
2016-07,materialized,144852.0,142500.0,142500.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-07.csv.gz
2016-08,materialized,144891.0,142518.0,142518.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-08.csv.gz
2016-09,materialized,144920.0,142535.0,142535.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-09.csv.gz
2016-10,materialized,144996.0,142582.0,142582.0,0.0,10,skip,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/processed/censo_geospatial/locales/2016-10.csv.gz
