period,dataset,dataset_available,coverage_status,coord_crs_status,output_path,status,rows,raw_encoding,raw_delimiter,raw_reader_mode,locales_with_best_coords,locales_without_best_coords,locales_coordinate_missing,actividades_unique_local_ids,actividades_unique_epigrafes
2015-01,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-01.csv.gz,skipped_existing,,,,,,,,,
2015-01,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-01.csv.gz,skipped_existing,,,,,,,,,
2015-02,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-02.csv.gz,materialized,155247.0,cp1252,;,pandas_default,,,,142679.0,423.0
2015-02,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-02.csv.gz,skipped_existing,,,,,,,,,
2015-03,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-03.csv.gz,materialized,155790.0,cp1252,;,pandas_default,,,,143123.0,424.0
2015-03,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-03.csv.gz,materialized,143123.0,cp1252,;,pandas_default,141333.0,1790.0,1790.0,,
2015-04,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-04.csv.gz,materialized,155930.0,cp1252,;,pandas_default,,,,143185.0,424.0
2015-04,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-04.csv.gz,materialized,143185.0,cp1252,;,pandas_default,141382.0,1803.0,1803.0,,
2015-05,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-05.csv.gz,materialized,156525.0,cp1252,;,pandas_default,,,,143663.0,426.0
2015-05,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-05.csv.gz,materialized,143663.0,cp1252,;,pandas_default,141822.0,1841.0,1841.0,,
2015-06,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-06.csv.gz,materialized,156826.0,cp1252,;,pandas_default,,,,143811.0,426.0
2015-06,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-06.csv.gz,materialized,143811.0,cp1252,;,pandas_default,141901.0,1910.0,1910.0,,
2015-08,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-08.csv.gz,materialized,157039.0,cp1252,;,pandas_default,,,,143988.0,426.0
2015-08,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-08.csv.gz,materialized,143988.0,cp1252,;,pandas_default,142007.0,1981.0,1981.0,,
2015-09,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-09.csv.gz,materialized,157206.0,cp1252,;,pandas_default,,,,144048.0,426.0
2015-09,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-09.csv.gz,materialized,144048.0,cp1252,;,pandas_default,142040.0,2008.0,2008.0,,
2015-10,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-10.csv.gz,materialized,157349.0,cp1252,;,pandas_default,,,,144094.0,426.0
2015-10,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-10.csv.gz,materialized,144094.0,cp1252,;,pandas_default,142087.0,2007.0,2007.0,,
2015-11,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-11.csv.gz,materialized,157569.0,cp1252,;,pandas_default,,,,144168.0,426.0
2015-11,locales,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/locales/2015-11.csv.gz,materialized,144168.0,cp1252,;,pandas_default,142136.0,2032.0,2032.0,,
2015-12,actividades,True,complete,ed50_utm30,/Users/alejandrotreny/Library/Mobile Documents/com~apple~CloudDocs/Github/Localizate/data/intermediate/censo_snapshots/actividades/2015-12.csv.gz,materialized,157569.0,cp1252,;,pandas_default,,,,144168.0,426.0
