period,locales_relative_path,actividades_relative_path,snapshot_year,snapshot_month,snapshot_date,has_actividades,coverage_status,coord_crs_status,coord_crs_hint
2015-01,locales/2015_01_censo_locales_209548-395-censo-locales-historico-csv.csv,actividades/2015_01_censo_actividades_209548-698-censo-locales-historico-csv.csv,2015,1,2015-01-01,True,complete,ed50_utm30,EPSG:23030
2015-02,locales/2015_02_censo_locales_209548-501-censo-locales-historico-csv.csv,actividades/2015_02_censo_actividades_209548-394-censo-locales-historico-csv.csv,2015,2,2015-02-01,True,complete,ed50_utm30,EPSG:23030
2015-03,locales/2015_03_censo_locales_209548-393-censo-locales-historico-csv.csv,actividades/2015_03_censo_actividades_209548-630-censo-locales-historico-csv.csv,2015,3,2015-03-01,True,complete,ed50_utm30,EPSG:23030
2015-04,locales/2015_04_censo_locales_209548-500-censo-locales-historico-csv.csv,actividades/2015_04_censo_actividades_209548-576-censo-locales-historico-csv.csv,2015,4,2015-04-01,True,complete,ed50_utm30,EPSG:23030
2015-05,locales/2015_05_censo_locales_209548-392-censo-locales-historico-csv.csv,actividades/2015_05_censo_actividades_209548-670-censo-locales-historico-csv.csv,2015,5,2015-05-01,True,complete,ed50_utm30,EPSG:23030
2015-06,locales/2015_06_censo_locales_209548-721-censo-locales-historico-csv.csv,actividades/2015_06_censo_actividades_209548-391-censo-locales-historico-csv.csv,2015,6,2015-06-01,True,complete,ed50_utm30,EPSG:23030
2015-08,locales/2015_08_censo_locales_209548-390-censo-locales-historico-csv.csv,actividades/2015_08_censo_actividades_209548-720-censo-locales-historico-csv.csv,2015,8,2015-08-01,True,complete,ed50_utm30,EPSG:23030
2015-09,locales/2015_09_censo_locales_209548-575-censo-locales-historico-csv.csv,actividades/2015_09_censo_actividades_209548-499-censo-locales-historico-csv.csv,2015,9,2015-09-01,True,complete,ed50_utm30,EPSG:23030
2015-10,locales/2015_10_censo_locales_209548-389-censo-locales-historico-csv.csv,actividades/2015_10_censo_actividades_209548-783-censo-locales-historico-csv.csv,2015,10,2015-10-01,True,complete,ed50_utm30,EPSG:23030
2015-11,locales/2015_11_censo_locales_209548-629-censo-locales-historico-csv.csv,actividades/2015_11_censo_actividades_209548-498-censo-locales-historico-csv.csv,2015,11,2015-11-01,True,complete,ed50_utm30,EPSG:23030
2015-12,locales/2015_12_censo_locales_209548-388-censo-locales-historico-csv.csv,actividades/2015_12_censo_actividades_209548-669-censo-locales-historico-csv.csv,2015,12,2015-12-01,True,complete,ed50_utm30,EPSG:23030
2016-01,locales/2016_01_censo_locales_209548-497-censo-locales-historico-csv.csv,actividades/2016_01_censo_actividades_209548-574-censo-locales-historico-csv.csv,2016,1,2016-01-01,True,complete,ed50_utm30,EPSG:23030
2016-02,locales/2016_02_censo_locales_209548-697-censo-locales-historico-csv.csv,actividades/2016_02_censo_actividades_209548-782-censo-locales-historico-csv.csv,2016,2,2016-02-01,True,complete,ed50_utm30,EPSG:23030
2016-03,locales/2016_03_censo_locales_209548-628-censo-locales-historico-csv.csv,actividades/2016_03_censo_actividades_209548-387-censo-locales-historico-csv.csv,2016,3,2016-03-01,True,complete,ed50_utm30,EPSG:23030
2016-04,locales/2016_04_censo_locales_209548-385-censo-locales-historico-csv.csv,actividades/2016_04_censo_actividades_209548-386-censo-locales-historico-csv.csv,2016,4,2016-04-01,True,complete,ed50_utm30,EPSG:23030
2016-05,locales/2016_05_censo_locales_209548-573-censo-locales-historico-csv.csv,actividades/2016_05_censo_actividades_209548-496-censo-locales-historico-csv.csv,2016,5,2016-05-01,True,complete,ed50_utm30,EPSG:23030
2016-06,locales/2016_06_censo_locales_209548-384-censo-locales-historico-csv.csv,actividades/2016_06_censo_actividades_209548-719-censo-locales-historico-csv.csv,2016,6,2016-06-01,True,complete,ed50_utm30,EPSG:23030
2016-07,locales/2016_07_censo_locales_209548-495-censo-locales-historico-csv.csv,actividades/2016_07_censo_actividades_209548-383-censo-locales-historico-csv.csv,2016,7,2016-07-01,True,complete,ed50_utm30,EPSG:23030
