epigrafe_code,epigrafe_desc,web_supercategory,web_category,web_subcategory,display_label,investable,mapping_rule,source_rows,needs_manual_review
472205,"COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA CON OBRADOR",Alimentacion,Alimentacion fresca,Aves y huevos,Aves y huevos,True,exact_code,22167,False
472206,"COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",Alimentacion,Alimentacion fresca,Aves y huevos,Aves y huevos,True,exact_code,104719,False
472201,COMERCIO AL POR MENOR DE CARNICERIA,Alimentacion,Alimentacion fresca,Carniceria,Carniceria,True,exact_code,145231,False
472203,COMERCIO AL POR MENOR DE CARNICERIA-CHARCUTERIA,Alimentacion,Alimentacion fresca,Carniceria y charcuteria,Carniceria y charcuteria,True,exact_code,28842,False
472204,COMERCIO AL POR MENOR DE CARNICERIA-SALCHICHERIA,Alimentacion,Alimentacion fresca,Carniceria y charcuteria,Carniceria y charcuteria,True,exact_code,58307,False
472207,COMERCIO AL POR MENOR DE CASQUERIA,Alimentacion,Alimentacion fresca,Casqueria,Casqueria,True,exact_code,18958,False
472202,COMERCIO AL POR MENOR DE CHARCUTERIA,Alimentacion,Alimentacion fresca,Charcuteria,Charcuteria,True,exact_code,137633,False
472101,COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS CON OBRADOR,Alimentacion,Alimentacion fresca,Fruteria,Fruteria,True,exact_code,22738,False
472102,COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,Alimentacion,Alimentacion fresca,Fruteria,Fruteria,True,exact_code,316109,False
472301,COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS CON OBRADOR (INCLUYE COCCION),Alimentacion,Alimentacion fresca,Pescaderia,Pescaderia,True,exact_code,10818,False
472302,COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,Alimentacion,Alimentacion fresca,Pescaderia,Pescaderia,True,exact_code,114162,False
472406,ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS SIN OBRADOR,Alimentacion,Comida preparada,Comida preparada,Comida preparada,True,exact_code,20765,False
472407,ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR,Alimentacion,Comida preparada,Comida preparada,Comida preparada,True,exact_code,111533,False
472502,COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO,Alimentacion,Especialistas alimentacion,Bodega,Bodega,True,exact_code,21191,False
472910,"COMERCIO AL POR MENOR DE CAFE, INFUSIONES Y CHOCOLATE",Alimentacion,Especialistas alimentacion,Cafe e infusiones,Cafe e infusiones,True,exact_code,14473,False
472905,COMERCIO AL POR MENOR DE CONGELADOS,Alimentacion,Especialistas alimentacion,Congelados,Congelados,True,exact_code,39534,False
472907,COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES,Alimentacion,Especialistas alimentacion,Frutos secos y encurtidos,Frutos secos y encurtidos,True,exact_code,64106,False
472906,COMERCIO AL POR MENOR DE GOLOSINAS,Alimentacion,Especialistas alimentacion,Golosinas,Golosinas,True,exact_code,10469,False
472904,COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR,Alimentacion,Especialistas alimentacion,Heladeria,Heladeria,True,exact_code,22394,False
472501,"COMERCIO AL POR MENOR DE LECHE, PRODUCTOS LACTEOS Y BEBIDAS REFRESCANTES",Alimentacion,Especialistas alimentacion,Lacteos y bebidas,Lacteos y bebidas,True,exact_code,10769,False
472401,COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,Alimentacion,Panaderia y pasteleria,Panaderia,Panaderia,True,exact_code,134260,False
472402,COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA SIN OBRADOR,Alimentacion,Panaderia y pasteleria,Panaderia,Panaderia,True,exact_code,100915,False
47800107,SITUADOS: CONFITERIA Y FRUTOS SECOS Y PATATAS FRITAS,Alimentacion,Panaderia y pasteleria,Panaderia y pasteleria,Panaderia y pasteleria,True,keyword_bakery,271,False
472403,"COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-BARRA DEGUSTACION",Alimentacion,Panaderia y pasteleria,Pasteleria y reposteria,Pasteleria y reposteria,True,exact_code,41458,False
472404,"COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",Alimentacion,Panaderia y pasteleria,Pasteleria y reposteria,Pasteleria y reposteria,True,exact_code,51966,False
472405,"COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA SIN OBRADOR",Alimentacion,Panaderia y pasteleria,Pasteleria y reposteria,Pasteleria y reposteria,True,exact_code,45753,False
471104,COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,Alimentacion,Supermercado y conveniencia,Alimentacion envasada,Alimentacion envasada,True,exact_code,117344,False
471102,"COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (GRANDES SUPERFICIES)",Alimentacion,Supermercado y conveniencia,Gran superficie alimentacion,Gran superficie alimentacion,True,exact_code,14598,False
471101,"COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",Alimentacion,Supermercado y conveniencia,Supermercado,Supermercado,True,exact_code,294889,False
472911,OTRO COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS (PERECEDEROS Y NO PERECEDEROS) CON VENDEDOR N.C.O.P.,Alimentacion,Supermercado y conveniencia,Tienda de alimentacion,Tienda de alimentacion,True,exact_code,337657,False
552001,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,Alojamiento,Alojamiento turistico,Albergue,Albergue,True,exact_code,15449,False
551002,HOTELES Y MOTELES SIN RESTAURANTE,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,6315,False
551004,APART-HOTELES,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,8327,False
553001,CAMPINGS Y APARCAMIENTOS PARA CARAVANAS,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,141,False
559001,COLEGIOS MAYORES Y RESIDENCIAS DE ESTUDIANTES,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,13599,False
559002,PENSIONES,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,3496,False
559003,CASAS DE HUESPEDES,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,7030,False
551003,HOSTALES,Alojamiento,Alojamiento turistico,Hostal,Hostal,True,exact_code,15592,False
551001,HOTELES Y MOTELES CON RESTAURANTE,Alojamiento,Alojamiento turistico,Hotel,Hotel,True,exact_code,42775,False
551005,VIVIENDAS TURÍSTICAS,Alojamiento,Alojamiento turistico,Vivienda turistica,Vivienda turistica,True,exact_code,81674,False
